"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000002823","713835244142","","659666-01","","Serfas RX Cruiser Saddle Lycra","5","1","$70.00","$0.00","$70.00","$79.10","$34.50","$35.50","50.71%"
"210000001343","770612289352","","040691-02-26","","Wheel Shop, Rear 26"" Wheel, 36H Silver Alloy Single Wall Alex C1000/ Silver Shimano CB-E110 Nutted Axle Coaster Brake Hub, Steel Spokes","0","1","$95.00","$0.00","$95.00","$107.35","$45.99","$49.01","51.59%"
"210000000125","","","","","Install Tube","0","20","$170.00","$0.00","$170.00","$192.10","$0.00","$170.00","100%"
"210000002957","","","PND","","PickUp & Delivery","0","1","$25.00","$0.00","$25.00","$28.25","$0.00","$25.00","100%"
"210000002860","689228601468","4524667601463","260155-01","","Shimano, Tourney RD-TX800, Rear derailleur, 7-8sp., SGS","3","1","$30.00","$0.00","$30.00","$33.90","$14.59","$15.41","51.37%"
"210000002942","4715910022894","","jagsh","","JAG BASIC LEX SHFT OUT BLK","-27","30","$30.00","$4.00","$26.00","$29.38","$12.00","$14.00","53.85%"
"210000000268","4715910023761","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","2","9","$45.00","$6.00","$39.00","$44.07","$12.25","$26.75","68.58%"
"210000000099","","","","","Adjust Rear Derailleur","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000000064","","","Bronze tune","","Bike Wash Bolt Tighten","0","1","$35.00","$0.00","$35.00","$39.55","$0.00","$35.00","100%"
"210000003291","710845019517","","500027-01","","SRAM, PC 951, 9sp chain, 114 links, Powerlink","1","2","$60.00","$0.00","$60.00","$67.80","$27.98","$32.02","53.37%"
"210000000088","","","","","Adjust Rear *V-Brake*","0","3","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000000363","","","","","SILVER TUNE UP","0","10","$675.00","$0.00","$675.00","$762.75","$0.00","$675.00","100%"
"210000002813","710845504761","","312825-01","","SRAM PC1 CHAIN NP SINGLE SPEED","0","4","$68.50","$0.00","$68.50","$77.41","$37.00","$31.50","45.99%"
"210000001957","","","160342-01","","700X 18X25 PRESTA 48MM TUBE","3","5","$37.50","$0.00","$37.50","$42.39","$18.75","$18.75","50%"
"210000000299","4710944252293","","255417-08","","SUNRACE BBS15 SQ TAP BB 68X127","1","2","$40.00","$0.00","$40.00","$45.20","$15.50","$24.50","61.25%"
"210000002710","768686152627","","BL-7097040","","DAYBLAZER 800 FRONT LIGHT","4","1","$100.00","$0.00","$100.00","$113.00","$48.50","$51.50","51.5%"
"210000000366","770612307476","","010799-05-700","","Evo, Corsair, 700x23C, Wire, Clincher, 30TPI, 100PSI, Black","3","1","$20.00","$0.00","$20.00","$22.60","$8.99","$11.01","55.05%"
"210000003308","710845709579","","312702-03","","SRAM PG-1070 CASS 10S 11-26T","0","1","$130.00","$0.00","$130.00","$146.90","$78.75","$51.25","39.42%"
"210000002810","710845644689","","312803-01","","SRAM PC1051 CHAIN 10SPD","-1","2","$70.00","$12.25","$57.75","$65.26","$44.79","$12.96","22.44%"
"210000001641","","","C-1873603071","","PODIUM CHILL 24OZPINK/ULTRAMARINE","5","1","$25.00","$0.00","$25.00","$28.25","$12.50","$12.50","50%"
"210000000089","","","","","Adjust Front *Disk Brake*","0","2","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000002878","770612337589","","901836-01","","EVO, PK-1 Inner Tube Patch Kit (Tub 100)","66","6","$30.00","$0.00","$30.00","$33.90","$7.92","$22.08","73.6%"
"210000000104","","","","","Adjust Front Derailleur","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000000087","","","","","Adjust Front *V-Brake*","0","4","$45.00","$0.00","$45.00","$50.85","$0.00","$45.00","100%"
"210000002056","181517000544","","","06-0001","ESI GRIPS EXTRA CHUNKY BLACK","31","4","$132.00","$0.00","$132.00","$149.16","$66.00","$66.00","50%"
"210000000130","","","","","True Front Wheel","0","3","$75.00","$0.00","$75.00","$84.75","$0.00","$75.00","100%"
"210000000131","","","","","True Rear Wheel","0","4","$120.00","$0.00","$120.00","$135.60","$0.00","$120.00","100%"
"210000002109","","","RIM","","RIM TAPE","0","5","$25.00","$0.00","$25.00","$28.25","$10.00","$15.00","60%"
"210000003211","","","011672-04-700","","Goodyear, Transit Tour, Tire, 700x35C, Wire, Clincher, Dynamic:Silica4, S3: Shell, 60TPI, Black","1","1","$55.00","$8.25","$46.75","$52.83","$13.49","$33.26","71.14%"
"210000003195","768686731099","","BL-7074411","","CLICK USB FRONT LIGHT BLACK","7","4","$120.00","$0.00","$120.00","$135.60","$60.00","$60.00","50%"
"210000003196","768686731105","","BL-7074412","","CLICK USB REAR LIGHT BLACK","4","3","$90.00","$0.00","$90.00","$101.70","$45.00","$45.00","50%"
"210000001958","","","160344","","700 20X28 SV 35MM TUBE","4","2","$15.00","$0.00","$15.00","$16.96","$6.50","$8.50","56.67%"
"210000001602","","","183410-18-01","","ROAD MACHINE SMART 2","2","4","$1600.00","$0.00","$1600.00","$1808.00","$1240.00","$360.00","22.5%"
"210000002787","851061001501","","183506","","RISER RING","4","2","$110.00","$0.00","$110.00","$124.30","$50.00","$60.00","54.55%"
"210000000155","058817693694","","160322","","29 X 1.90-2.30 PV(48) TUBE","0","1","$9.00","$0.00","$9.00","$10.17","$4.50","$4.50","50%"
"210000003292","","","500040-01","","SRAM, PC-830, 8sp chain, 114 links, Powerlink","0","1","$20.00","$0.00","$20.00","$22.60","$7.99","$12.01","60.05%"
"210000000422","","4712805974160","760145-03","","Lezyne, Co² Cartridges, Threaded, 25g, box of 20 units","0","2","$7.70","$0.00","$7.70","$8.70","$7.70","$0.00","0%"
"210000001629","768686677670","","BL-7068254","","16G CO2 BULK THREADEDCARTRIDGES","27","1","$32.91","$0.00","$32.91","$37.19","$32.91","$0.00","0%"
"210000000090","","","","","Adjust Rear *Disk Brake*","0","2","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
