"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Description","Stock","Sold","Subtotal","Discounts","Subtotal w/ Discounts","Total","Cost","Profit","Margin"
"210000000095","","","","","Bleed Hydraulic Brake","0","4","$120.00","$0.00","$120.00","$135.60","$0.00","$120.00","100%"
"210000000475","","5037835895001","901151-01","","Muc-Off, Hydrodynamic Team Sky, Lube, 50ml","12","1","$39.00","$0.00","$39.00","$44.07","$19.49","$19.51","50.03%"
"210000002211","","","98145","","REAR HUB BEARINGS","53","1","$5.00","$0.00","$5.00","$5.65","$0.30","$4.70","94%"
"210000000079","","","","","Install Sealed BB *Sealed Cartridge*","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000000071","","","Rear Hub Service","Hub Service","Grease Rear Hub","0","1","$30.00","$0.00","$30.00","$33.90","$0.00","$30.00","100%"
"210000002803","4710944252279","","255417-06","","SUNRACE BBS15 SQ TAP BB 68X118","0","1","$25.00","$0.00","$25.00","$28.25","$7.75","$17.25","69%"
"210000003482","058817930379","","250729-02","","49N  V-BRAKE PADS 70MM","10","2","$16.00","$0.00","$16.00","$18.08","$5.20","$10.80","67.5%"
"210000002878","770612337589","","901836-01","","EVO, PK-1 Inner Tube Patch Kit (Tub 100)","66","3","$15.00","$0.00","$15.00","$16.95","$3.96","$11.04","73.6%"
"210000003409","058817934308","","173628-01","","49N  ERGONOMIC COMFORT GRIP","24","1","$11.00","$0.00","$11.00","$12.43","$5.25","$5.75","52.27%"
"210000000124","","","","","Install Tire","0","2","$10.00","$0.00","$10.00","$11.30","$0.00","$10.00","100%"
"210000000229","4715910000786","","250186-01","jagbcssmtn","JAG MTN SPRT SLK SS BRK 100PCS","-7","3","$15.00","$0.00","$15.00","$16.95","$4.80","$10.20","68%"
"210000002942","4715910022894","","jagsh","","JAG BASIC LEX SHFT OUT BLK","-27","23","$23.00","$0.00","$23.00","$25.99","$9.20","$13.80","60%"
"210000002923","710845006524","","312503-06","","SRAM MRX COMP GRIPSHIFT MIC FT","0","1","$15.00","$0.00","$15.00","$16.95","$8.25","$6.75","45%"
"210000002965","","","255401-02","","SUNRACE MFM2A F/WHL 14-28 6SPD","1","1","$20.00","$0.00","$20.00","$22.60","$8.50","$11.50","57.5%"
"210000003328","058817049088","","252856-02","","49N RESIN FLAT PEDAL BLK 1/2""","13","1","$20.00","$0.00","$20.00","$22.60","$3.99","$16.01","80.05%"
"210000000087","","","","","Adjust Front *V-Brake*","0","2","$20.00","$0.00","$20.00","$22.60","$0.00","$20.00","100%"
"210000000104","","","","","Adjust Front Derailleur","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000000099","","","","","Adjust Rear Derailleur","0","1","$15.00","$0.00","$15.00","$16.95","$0.00","$15.00","100%"
"210000003395","181517000551","","","06-0095","ESI ROAD WRAP BLACK","15","2","$113.99","$0.00","$113.99","$128.81","$77.98","$36.01","31.59%"
"210000003238","710845760198","","","11.5015.040.060","Bar tape install","0","1","$15.00","$0.00","$15.00","$16.95","$11.25","$3.75","25%"
"210000002810","710845644689","","312803-01","","SRAM PC1051 CHAIN 10SPD","-1","1","$35.00","$0.00","$35.00","$39.55","$22.50","$12.50","35.71%"
"210000000725","36121710931","","FL-SK0090101","","MAX SUSPENSION SPRAY, 9OZ AEROSOL","0","1","$15.00","$0.00","$15.00","$16.95","$7.00","$8.00","53.33%"
"210000000268","4715910023761","","253662-01","jagscss","JAG SPT SLK SS SHFT SHIM","2","7","$35.00","$0.00","$35.00","$39.55","$9.70","$25.30","72.28%"
"210000003393","","","06-0005","","ESI CHUNKY BLACK","32","1","$30.00","$0.00","$30.00","$33.90","$14.99","$15.01","50.03%"
"210000001667","","","FL-E20","","ECOTECH DEGREASER 20OZ","0","1","$25.00","$0.00","$25.00","$28.25","$11.00","$14.00","56%"
"210000000363","","","","","SILVER TUNE UP","0","4","$240.00","$0.00","$240.00","$271.20","$60.00","$180.00","75%"
"210000003481","4715910039397","","250093-13","","Shimano® Road/CX RS805, RS505, RS405, RS305, Metrea U5000 Rever® Flat-mount MCX2, MCX1","0","2","$52.00","$0.00","$52.00","$58.76","$26.00","$26.00","50%"
"210000000573","768686022463","","GH-7075916","","DND BLACK s","-1","1","$40.00","$0.00","$40.00","$45.20","$17.50","$22.50","56.25%"
"210000003372","","","020175-18","770612335950","EVO, Presta, Tube, Length: 60mm, 700C, 28-32C","155","2","$18.00","$0.00","$18.00","$20.34","$5.58","$12.42","69%"
